"title","scifi","supernatural","religious","gore","profound","jovial","jump","person","quality","creative"
"The Ring",1,5,1,2,4,1,4,1,4,4
"Alien",5,1,1,3,4,1,2,1,5,5
"The Thing",5,1,1,4,4,1,2,1,5,5
"Conjuring",1,5,4,1,2,1,5,1,5,2
"Insidious",1,5,3,1,2,3,5,1,4,2
"Sinister",1,4,1,3,1,1,5,3,4,4
"A Quiet Place",5,1,1,2,4,1,2,1,5,4
"Cabin in the Woods",2,5,2,5,2,4,3,3,5,4
"Saw",1,1,1,5,2,1,2,5,5,4
"Midsommar",1,3,2,4,5,1,1,4,5,5
"The Shining",1,5,1,2,5,1,3,4,5,5
"The Strangers",1,1,1,4,2,1,4,5,3,1
"Signs",4,1,3,1,5,2,4,1,4,3
"It",2,5,1,2,3,4,4,1,5,4
